date,amount,category
01/15/2014,299,false
09/05/2015,429,false
12/20/2015,120,true
01/13/2023,119,true
05/18/2022,168,true
04/22/2010,103,true
09/12/2022,280,false
02/25/2012,130,true
01/12/2020,23,true
11/30/2016,319,false
12/22/2007,48,true
12/15/2000,180,false
12/29/2008,134,false
04/18/2010,135,true
01/30/2009,322,true
10/24/2017,315,false
12/09/2011,286,false
05/22/2009,112,true
11/27/2001,546,false
07/13/2007,398,false
06/05/2002,171,true
01/11/2004,173,true
06/12/2016,190,false
02/06/2004,534,false
09/07/2020,161,true
03/19/2004,370,true
09/07/2024,220,false
12/11/2019,135,true
09/14/2015,387,true
06/17/2012,203,false
07/13/2010,286,true
08/06/2020,163,false
01/16/2016,362,true
12/19/2007,596,true
12/20/2009,156,false
01/25/2011,259,false
08/28/2024,543,false
11/20/2018,510,true
06/22/2010,403,false
03/11/2016,511,true
10/07/2000,84,false
11/10/2013,500,false
11/18/2005,130,false
02/10/2017,84,false
01/03/2022,130,true
01/18/2011,598,true
01/23/2016,580,true
07/22/2020,30,false
10/03/2012,23,false
07/31/2004,304,false
10/20/2005,568,false
02/11/2015,79,true
10/04/2018,418,false
09/20/2012,161,false
04/19/2016,375,true
03/27/2008,87,true
05/03/2020,585,true
07/27/2010,44,true
03/02/2006,494,true
08/01/2013,460,true
06/24/2012,432,true
09/24/2003,447,false
10/15/2008,281,false
05/08/2017,345,true
05/13/2005,164,false
04/06/2004,309,true
03/17/2007,501,true
10/13/2000,361,true
06/02/2004,358,false
11/15/2012,515,false
12/15/2016,160,true
04/02/2003,281,true
11/10/2002,35,true
02/15/2022,53,false
03/15/2013,208,true
03/21/2012,38,true
03/23/2025,509,false
11/16/2007,370,false
06/23/2021,357,true
01/13/2017,599,true
07/05/2006,88,true
06/22/2010,98,true
08/15/2001,174,true
08/30/2018,299,false
11/17/2005,594,true
12/27/2013,257,true
06/25/2003,133,false
04/24/2021,173,false
09/24/2019,465,true
02/10/2017,81,false
06/17/2012,105,false
12/26/2020,309,false
02/04/2019,443,true
01/19/2018,109,false
09/12/2011,454,true
06/06/2004,558,true
09/09/2010,500,true
09/01/2004,118,false
06/12/2007,27,true
07/13/2014,298,true
11/27/2021,44,false
10/28/2010,32,true
06/30/2017,61,false
12/30/2000,302,false
06/10/2006,271,false
06/13/2005,180,true
08/13/2008,184,true
12/25/2000,341,false
05/28/2010,109,false
02/22/2008,441,false
04/02/2017,90,true
02/03/2011,307,false
05/13/2012,146,true
10/13/2001,329,true
05/03/2014,193,true
01/26/2020,20,false
02/27/2015,316,true
10/15/2000,324,false
05/05/2002,553,true
02/03/2006,299,false
07/23/2010,485,false
06/29/2003,291,true
06/14/2013,502,true
04/08/2025,124,true
11/25/2015,483,false
03/04/2021,491,true
12/30/2012,554,true
02/20/2018,30,false
06/24/2016,32,true
10/23/2021,44,false
08/27/2024,265,true
10/25/2009,439,true
10/17/2013,215,false
12/03/2008,208,true
06/28/2019,397,true
07/01/2014,75,false
06/20/2011,421,true
07/28/2024,252,true
08/27/2002,150,false
10/08/2021,595,true
02/07/2003,26,true
11/12/2012,201,true
12/19/2024,461,true
04/18/2008,319,true
11/23/2017,584,false
10/23/2002,500,true
11/07/2007,501,false
08/09/2015,44,false
08/19/2005,560,false
04/03/2011,404,false
08/01/2000,249,false
06/09/2011,514,true
04/04/2007,109,true
06/15/2008,457,true
04/12/2016,44,true
11/09/2007,437,false
10/20/2002,216,false
06/01/2004,321,false
12/28/2009,383,false
03/31/2001,208,true
06/10/2006,373,false
08/15/2014,228,true
02/14/2012,42,false
03/29/2015,73,true
09/18/2002,177,true
07/31/2015,259,false
07/12/2016,417,false
08/09/2009,580,false
01/04/2011,369,false
02/19/2001,254,false
06/21/2023,293,true
01/04/2015,292,true
09/29/2024,444,true
01/07/2019,562,true
06/22/2012,438,false
04/03/2002,58,false
12/02/2015,306,false
09/21/2009,393,false
09/07/2016,517,true
08/02/2022,138,false
06/27/2004,592,true
07/28/2007,484,true
03/05/2002,357,true
10/20/2005,530,false
02/27/2012,277,true
01/06/2002,40,false
04/26/2001,202,true
11/24/2001,598,false
11/14/2014,356,false
04/13/2009,158,true
04/05/2017,294,false
04/12/2015,506,false
05/20/2015,466,true
12/13/2002,218,true
03/12/2012,50,true
03/24/2013,431,false
09/21/2023,39,true
08/09/2008,140,false
09/25/2017,290,true
04/30/2003,454,true
01/20/2005,596,false
12/22/2024,411,false
02/23/2012,149,false
09/27/2022,202,false
01/07/2008,290,false
10/25/2013,298,false
03/31/2016,233,true
04/07/2022,428,true
11/25/2000,407,true
04/13/2001,365,false
09/26/2012,323,false
06/17/2017,557,true
11/24/2004,354,false
09/10/2023,538,true
06/20/2014,342,false
01/16/2008,343,false
09/25/2024,448,false
11/16/2004,59,false
09/05/2017,325,false
11/24/2007,177,true
01/22/2018,538,false
09/13/2021,351,false
09/02/2010,251,true
08/23/2002,101,true
07/19/2003,515,false
02/29/2016,202,false
02/09/2014,420,true
01/31/2019,326,false
07/25/2017,469,true
09/15/2019,139,true
07/17/2022,311,true
01/08/2023,341,true
03/12/2018,572,false
04/27/2001,81,false
08/12/2014,207,true
09/19/2019,174,true
02/02/2009,168,true
10/09/2014,311,true
01/10/2017,296,true
01/24/2004,485,false
04/16/2002,209,false
05/06/2008,336,false
03/16/2010,222,false
05/21/2021,221,false
08/17/2007,501,true
06/28/2014,587,false
05/10/2016,465,true
09/09/2008,211,true
06/03/2020,483,true
03/04/2010,443,false
12/12/2002,495,false
07/22/2000,572,true
05/10/2010,574,true
10/17/2009,407,true
09/09/2014,594,true
03/11/2021,116,false
08/15/2015,210,false
11/30/2022,248,false
05/27/2024,213,false
11/11/2011,88,true
07/05/2015,583,false
02/01/2009,186,true
01/11/2004,226,true
11/17/2016,387,true
04/11/2005,159,true
02/22/2005,521,true
01/20/2005,205,false
11/15/2017,536,false
07/18/2021,366,false
03/28/2009,189,true
05/11/2022,57,false
09/08/2015,400,false
10/27/2007,451,true
02/17/2004,293,false
01/19/2018,497,false
08/01/2013,157,false
05/08/2018,410,false
09/06/2001,347,true
07/25/2000,364,true
04/27/2010,234,true
11/21/2023,165,true
07/10/2023,378,false
07/02/2024,470,true
10/27/2024,345,false
08/18/2001,488,false
04/07/2013,221,false
08/08/2020,552,false
06/23/2011,67,false
12/24/2015,423,false
11/16/2004,549,false
02/24/2013,338,true
07/29/2008,74,false
06/15/2003,585,false
05/13/2014,505,false
11/21/2013,280,false
06/01/2018,424,false
04/22/2007,354,false
04/11/2002,361,false
10/14/2015,311,false
10/25/2006,397,true
03/19/2025,113,true
05/10/2004,533,false
03/17/2017,201,true
03/15/2023,379,true
04/05/2003,160,false
03/13/2022,187,false
07/30/2005,263,false
03/06/2025,55,false
09/13/2018,79,true
02/19/2006,556,true
09/25/2000,552,true
05/15/2005,427,false
11/12/2007,519,false
11/07/2004,248,true
10/09/2024,335,true
04/13/2013,532,false
06/13/2002,295,true
04/13/2008,226,false
12/04/2010,397,false
01/08/2006,557,true
02/16/2002,385,false
06/11/2017,556,false
08/24/2003,183,false
02/28/2012,409,false
04/20/2017,489,false
11/03/2003,94,false
01/16/2010,27,false
08/12/2019,420,true
06/23/2000,155,false
04/12/2001,394,false
09/29/2017,511,true
04/05/2005,379,false
05/20/2015,117,false
11/12/2012,600,true
05/31/2001,384,false
02/28/2002,311,false
04/26/2010,334,false
08/14/2024,227,false
06/30/2001,205,true
06/04/2000,294,true
08/22/2000,471,true
01/17/2022,376,true
11/01/2009,64,true
10/14/2018,222,false
01/12/2003,298,false
12/07/2001,348,true
08/26/2016,546,true
03/02/2025,254,true
07/07/2012,197,false
12/04/2001,573,true
02/14/2003,354,false
09/07/2006,595,false
06/12/2018,575,true
05/14/2019,548,false
06/19/2015,52,true
08/21/2017,256,false
06/15/2003,84,false
11/07/2002,595,true
12/06/2024,303,true
11/14/2000,229,true
03/02/2009,377,false
08/20/2022,413,true
07/26/2020,117,true
03/05/2003,25,false
04/23/2014,234,false
11/15/2002,576,true
12/22/2015,379,false
06/25/2008,189,false
01/26/2011,378,true
11/27/2001,386,false
08/22/2017,26,false
04/15/2019,289,false
10/08/2023,227,true
07/29/2010,73,false
09/29/2003,130,true
03/26/2018,427,false
05/17/2019,559,false
08/18/2011,427,false
08/22/2018,586,true
06/06/2003,179,false
04/29/2003,517,true
01/03/2014,258,false
02/14/2003,481,false
11/30/2003,191,true
04/11/2009,63,false
07/14/2014,387,true
05/05/2000,218,true
11/23/2014,22,true
04/15/2018,597,false
04/27/2004,308,false
02/09/2008,403,false
07/18/2014,334,true
06/06/2023,171,false
07/13/2007,169,false
05/25/2015,311,true
05/05/2010,40,false
09/06/2012,311,false
11/19/2023,572,false
11/25/2020,470,true
10/04/2013,331,false
04/22/2023,516,true
03/19/2015,385,false
02/11/2024,144,true
08/19/2020,167,true
08/13/2005,133,true
10/13/2006,572,true
05/27/2019,239,false
12/10/2012,173,false
11/21/2005,170,false
05/06/2008,220,false
08/04/2001,258,true
08/07/2016,391,false
08/07/2005,543,true
10/31/2008,76,false
11/01/2010,418,true
01/03/2021,519,true
04/10/2002,315,false
05/28/2001,580,false
07/28/2008,132,false
03/09/2009,377,false
07/30/2015,438,false
08/18/2004,486,false
06/02/2004,525,false
04/15/2003,406,false
06/13/2020,22,false
11/07/2023,336,false
12/10/2004,322,true
08/12/2013,30,true
01/06/2003,465,true
10/17/2007,37,false
09/01/2012,254,false
04/14/2009,436,true
02/04/2024,458,true
05/06/2003,218,true
09/13/2021,389,false
01/16/2008,597,true
12/21/2018,422,true
11/18/2022,83,false
10/14/2003,30,true
08/16/2023,290,false
08/04/2006,245,true
11/25/2002,375,false
09/20/2011,346,true
12/19/2015,205,false
12/09/2001,117,false
12/05/2000,463,false
03/20/2005,413,false
11/10/2005,75,false
11/25/2005,580,true
02/19/2003,515,false
09/24/2004,115,false
10/01/2006,395,true
05/17/2023,73,true
02/22/2008,60,true
05/22/2011,233,false
07/09/2002,226,false
09/13/2006,432,true
10/18/2017,129,false
09/08/2018,194,true
02/03/2025,535,true
08/06/2010,370,true
08/24/2005,506,true
02/15/2022,515,false
03/14/2012,382,true
12/30/2019,496,true
11/14/2004,457,true
08/28/2006,492,true
12/01/2014,482,false
12/14/2007,216,true
12/09/2011,41,true
02/05/2005,67,true
05/15/2022,429,false
08/25/2023,578,true
12/06/2021,534,false
02/11/2022,174,true
03/15/2009,274,true
09/24/2023,207,true
11/06/2006,454,true
01/21/2024,467,true
02/01/2001,412,true
08/02/2019,258,false
04/04/2025,438,true
08/09/2008,388,true
07/19/2001,124,false
05/16/2008,154,true
08/06/2020,299,true
10/03/2010,167,true
03/15/2017,336,false
02/13/2012,114,false
04/18/2002,403,false
02/06/2001,277,true
05/05/2012,98,false
07/28/2002,72,false
05/17/2023,179,false
06/02/2000,418,false
01/26/2009,200,false
12/06/2021,387,true
09/01/2013,434,true
